,name,ep,lan
0,Gunma-chan Season 2,Ep 2/13,SUB
1,Bosanimal,Ep 1,SUB
2,Run For Money : The Great Mission,Ep 44,SUB
3,Mix: Meisei Story 2nd Season,Ep 24/24,SUB
4,Stella of the Theater: World Dai Star,Ep 12/12,SUB
5,Sorcerous Stabber Orphen -Doom of Dragon's Sanctuary-,Ep 12/12,SUB
6,Alice Gear Aegis Expansion,Ep 12/12,SUB
7,The IDOLM@STER Cinderella Girls: U149,Ep 12/12,SUB
8,Opus.COLORs,Ep 12/12,SUB
9,Kizuna no Allele,Ep 12/12,SUB
10,Rokudo's Bad Girls,Ep 12/12,SUB
11,Tokyo Mew Mew New 2nd Season,Ep 12/12,SUB
12,The Marginal Service,Ep 12/12,SUB
13,Otaku Elf,Ep 12/12,SUB
14,My Clueless First Friend,Ep 13/13,"SUB
DUB"
15,Too Cute Crisis,Ep 12/12,SUB
16,Birdie Wing: Golf Girls' Story: 2nd Season,Ep 12/12,SUB
17,Magical Girl Magical Destroyers,Ep 12/12,SUB
18,KamiKatsu: Working for God in a Godless World,Ep 12/12,"SUB
DUB"
19,Ayakashi Triangle Special Recap,Ep 1/1,SUB
20,The Blue Orchestra,Ep 24/24,SUB
21,The Café Terrace and Its Goddesses,Ep 12/12,SUB
22,Yuri is My Job!,Ep 12/12,SUB
23,My One-Hit Kill Sister,Ep 12/12,SUB
24,The Aristocrat's Otherworldly Adventure: Serving Gods Who Go Too Far,Ep 12/12,"SUB
DUB"
25,The Legendary Hero Is Dead!,Ep 12/12,"SUB
DUB"
26,Mobile Suit Gundam: The Witch from Mercury Season 2,Ep 12/12,"SUB
DUB"
27,Dead Mount Death Play,Ep 12/12,"SUB
DUB"
28,Skip and Loafer,Ep 12/12,SUB
29,The Reason Why Raeliana Ended up at the Duke's Mansion,Ep 12/12,"SUB
DUB"
30,Heavenly Delusion,Ep 13/13,"SUB
DUB"
31,My Home Hero,Ep 12/12,"SUB
DUB"
32,A Galaxy Next Door,Ep 12/12,"SUB
DUB"
33,Summoned to Another World for a Second Time,Ep 12/12,SUB
34,The Dangers in My Heart,Ep 12/12,"SUB
DUB"
35,Insomniacs After School,Ep 13/13,SUB
36,"I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",Ep 13/13,"SUB
DUB"
37,In Another World With My Smartphone 2,Ep 12/12,"SUB
DUB"
38,Loving Yamada at Lv999,Ep 13/13,"SUB
DUB"
39,Ranking of Kings: The Treasure Chest of Courage,Ep 10/10,"SUB
DUB"
40,Mashle: Magic and Muscles,Ep 12/12,"SUB
DUB"
41,The Ancient Magus' Bride Season 2,Ep 12/12,"SUB
DUB"
42,KonoSuba: An Explosion on This Wonderful World!,Ep 12/12,"SUB
DUB"
43,Demon Slayer: Kimetsu no Yaiba – To the Swordsmith Village,Ep 1/1,SUB
44,Nights with a Cat,Ep 30/30,SUB
45,Buddy Daddies Recap,Ep 1/1,SUB
46,Hell's Paradise,Ep 13/13,"SUB
DUB"
47,Edens Zero 2nd Season,Ep 25/25,SUB
48,My Star,Ep 11/11,"SUB
DUB"
49,Attack on Titan: The Final Season Part 3,Ep 2/2,SUB
50,Legend of Immortals 5th Season,Ep 28/28,SUB
51,Aggretsuko (ONA) 5th Season,Ep 10/10,"SUB
DUB"
52,Martial God Stream,Ep 48/48,SUB
53,Seven Lucky Gods,Ep 12/12,SUB
54,Delicious Party♡Pretty Cure Movie,Ep Full,SUB
55,Dragon Raja,Ep 1/1,SUB
56,Harem in the Labyrinth of Another World Specials,Ep 2/2,SUB
57,"Goodbye, Don Glees!",Ep Full,"SUB
DUB"
58,Hirogaru Sky! Precure,Ep 50/50,SUB
59,The Love Story of My Immortal Dad,Ep 126/126,SUB
60,My Senior Brother Is Too Steady,Ep 13/13,SUB
61,The Soul of Soldier Master Part 2,Ep 12/12,SUB
62,New Gods: Yang Jian,Ep Full,SUB
63,Tokyo Revengers: Christmas Showdown (Uncensored),Ep 13/13,"SUB
DUB"
64,My Life as Inukai-san's Dog (Uncensored),Ep 12/12,SUB
65,High Card,Ep 12/12,SUB
66,Onimai: I'm Now Your Sister! (Uncensored),Ep 12/12,SUB
67,Love Flops (Uncensored),Ep 12/12,"SUB
DUB"
68,UniteUp!,Ep 12/12,SUB
69,D4DJ All Mix,Ep 12/12,SUB
70,Nijiyon Animation,Ep 12/12,SUB
71,Technoroid: Overmind,Ep 12/12,SUB
72,Sorcerous Stabber Orphen -Chaos in Urbanrama-,Ep 12/12,SUB
73,"""Ippon"" again!",Ep 13/13,SUB
74,The Tale of Outcasts,Ep 13/13,SUB
75,Giant Beasts of Ars,Ep 12/12,SUB
76,Sugar Apple Fairy Tale,Ep 12/12,"SUB
DUB"
77,Malevolent Spirits: Mononogatari,Ep 12/12,SUB
78,Revenger,Ep 12/12,"SUB
DUB"
79,The Vampire Dies in No Time: 2nd Season,Ep 12/12,SUB
80,"Saving 80,000 Gold in Another World for My Retirement",Ep 12/12,"SUB
DUB"
81,Tsurune - The Linking Shot -,Ep 13/13,SUB
82,Kaina of the Great Snow Sea,Ep 11/11,SUB
83,Chillin' in My 30s after Getting Fired from the Demon King's Army,Ep 12/12,SUB
84,Campfire Cooking in Another World with My Absurd Skill,Ep 12/12,"SUB
DUB"
85,Ayakashi Triangle,Ep 12/12,SUB
86,The Iceblade Sorcerer Shall Rule the World,Ep 12/12,"SUB
DUB"
87,The Reincarnation of the Strongest Exorcist in Another World,Ep 13/13,"SUB
DUB"
88,Handyman Saitou in Another World,Ep 12/12,"SUB
DUB"
89,Buddy Daddies,Ep 12/12,"SUB
DUB"
90,Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,Ep 12/12,SUB
91,The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,Ep 12/12,SUB
92,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,Ep 12/12,SUB
93,Farming Life in Another World,Ep 12/12,"SUB
DUB"
94,"The Fruit of Evolution: Before I Knew It, My Life Had It Made Season 2",Ep 12/12,"SUB
DUB"
95,My Life as Inukai-san's Dog.,Ep 12/12,SUB
96,Trigun Stampede,Ep 12/12,"SUB
DUB"
97,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,Ep 12/12,"SUB
DUB"
98,Housing Complex C,Ep 4/4,"SUB
DUB"
99,Four People and Their Respective Lies,Ep 11/11,SUB
100,Yowamushi Pedal 5th Season,Ep 25/25,SUB
